sequencia,objeto,tipo_obj,fundo,iluminacao,transformacao,responsavel,arquivo
2,colher,c,branco,indoor dia,seg manual,Josilton,1148.jpg
3,colher,c,branco,indoor dia,seg manual,Josilton,1149.jpg
1,copo,c,branco,indoor dia,seg manual,Josilton,1150.jpg
1,caneca,c,branco,indoor dia,seg manual,Josilton,1153.jpg
2,caneca,c,branco,indoor dia,seg manual,Josilton,1154.jpg
1,garfo,a,mickey,indoor dia,seg manual,Josilton,1171.jpg
2,garfo,a,mickey,indoor dia,seg manual,Josilton,1172.jpg
1,faca,a,mickey,indoor dia,seg manual,Josilton,1174.jpg
2,faca,a,mickey,indoor dia,seg manual,Josilton,1175.jpg
1,colher,a,mickey,indoor dia,seg manual,Josilton,1177.jpg
3,colher,a,mickey,indoor dia,seg manual,Josilton,1179.jpg
1,copo,a,mickey,indoor dia,seg manual,Josilton,1180.jpg
1,caneca,a,mickey,indoor dia,seg manual,Josilton,1183.jpg
2,garfo,b,mickey,indoor dia,seg manual,Josilton,1202.jpg
1,faca,b,mickey,indoor dia,seg manual,Josilton,1204.jpg
1,caneca,b,mickey,indoor dia,seg manual,Josilton,1213.jpg
1,caneca,c,mickey,indoor dia,seg manual,Josilton,1243.jpg
2,caneca,c,mickey,indoor dia,seg manual,Josilton,1244.jpg
1,garfo,a,branco,outdoor dia,seg manual,Josilton,1351.jpg
2,garfo,a,branco,outdoor dia,seg manual,Josilton,1352.jpg
1,colher,a,branco,outdoor dia,seg manual,Josilton,1357.jpg
2,colher,a,branco,outdoor dia,seg manual,Josilton,1358.jpg
3,colher,a,branco,outdoor dia,seg manual,Josilton,1359.jpg
1,caneca,a,branco,outdoor dia,seg manual,Josilton,1363.jpg
2,caneca,a,branco,outdoor dia,seg manual,Josilton,1364.jpg
3,caneca,a,branco,outdoor dia,seg manual,Josilton,1365.jpg
3,garfo,b,branco,outdoor dia,seg manual,Josilton,1383.jpg
1,faca,b,branco,outdoor dia,seg manual,Josilton,1384.jpg
2,colher,b,branco,outdoor dia,seg manual,Josilton,1388.jpg
3,colher,b,branco,outdoor dia,seg manual,Josilton,1389.jpg
1,caneca,b,branco,outdoor dia,seg manual,Josilton,1393.jpg
2,caneca,b,branco,outdoor dia,seg manual,Josilton,1394.jpg
3,caneca,b,branco,outdoor dia,seg manual,Josilton,1395.jpg
2,faca,c,branco,outdoor dia,seg manual,Josilton,1415.jpg
3,faca,c,branco,outdoor dia,seg manual,Josilton,1416.jpg
1,colher,c,branco,outdoor dia,seg manual,Josilton,1417.jpg
2,colher,c,branco,outdoor dia,seg manual,Josilton,1418.jpg
3,colher,c,branco,outdoor dia,seg manual,Josilton,1419.jpg
3,copo,c,branco,outdoor dia,seg manual,Josilton,1422.jpg
1,caneca,c,branco,outdoor dia,seg manual,Josilton,1423.jpg
2,caneca,c,branco,outdoor dia,seg manual,Josilton,1424.jpg
2,garfo,a,mickey,outdoor dia,seg manual,Josilton,1442.jpg
2,colher,a,mickey,outdoor dia,seg manual,Josilton,1448.jpg
1,faca,b,mickey,outdoor dia,seg manual,Josilton,1474.jpg
3,faca,b,mickey,outdoor dia,seg manual,Josilton,1476.jpg
3,colher,b,mickey,outdoor dia,seg manual,Josilton,1479.jpg
3,faca,c,mickey,outdoor dia,seg manual,Josilton,1506.jpg
1,colher,c,mickey,outdoor dia,seg manual,Josilton,1507.jpg
1,copo,c,mickey,outdoor dia,seg manual,Josilton,1510.jpg
1,faca,a,branco,indoor noite,seg manual,Josilton,1624.jpg
1,alicate,c,branco,outdoor noite,seg manual,Ciro,1966.jpg
2,alicate,c,branco,outdoor noite,seg manual,Ciro,1967.jpg
1,chave,c,branco,outdoor noite,seg manual,Ciro,1969.jpg
2,chave,c,branco,outdoor noite,seg manual,Ciro,1970.jpg
1,caneta,c,branco,outdoor noite,seg manual,Ciro,1972.jpg
2,caneta,c,branco,outdoor noite,seg manual,Ciro,1973.jpg
1,livro,c,branco,outdoor noite,seg manual,Ciro,1975.jpg
2,livro,c,branco,outdoor noite,seg manual,Ciro,1976.jpg
1,caderno,c,branco,outdoor noite,seg manual,Ciro,1978.jpg
2,caderno,c,branco,outdoor noite,seg manual,Ciro,1979.jpg
